iter	Passed	Remaining
0	161	160859
1	163	81367
2	165	55017
3	171	42745
4	173	34601
5	176	29224
6	178	25309
7	180	22371
8	182	20092
9	184	18246
10	186	16732
11	193	15931
12	195	14834
13	197	13892
14	199	13071
15	200	12360
16	202	11727
17	204	11175
18	206	10671
19	208	10215
20	214	10019
21	216	9638
22	218	9286
23	220	8963
24	222	8667
25	224	8397
26	225	8143
27	227	7905
28	229	7682
29	232	7526
30	234	7344
31	236	7161
32	238	6988
33	240	6832
34	242	6678
35	244	6534
36	245	6396
37	247	6266
38	249	6142
39	251	6036
40	253	5939
41	255	5837
42	257	5737
43	259	5639
44	261	5546
45	263	5458
46	265	5374
47	266	5292
48	268	5213
49	270	5137
50	272	5079
51	275	5017
52	277	4951
53	279	4887
54	280	4825
55	282	4764
56	284	4705
57	286	4650
58	288	4597
59	290	4544
60	291	4492
61	293	4442
62	296	4415
63	298	4368
64	300	4321
65	302	4276
66	303	4233
67	305	4190
68	307	4149
69	309	4110
70	311	4070
71	312	4032
72	314	3994
73	316	3959
74	318	3933
75	320	3899
76	322	3866
77	324	3833
78	326	3801
79	327	3769
80	329	3738
81	331	3708
82	332	3670
83	333	3641
84	335	3613
85	337	3586
86	340	3570
87	341	3544
88	343	3518
89	345	3493
90	347	3468
91	348	3443
92	350	3420
93	352	3396
94	354	3373
95	355	3351
96	357	3328
97	359	3306
98	362	3302
99	364	3282
100	366	3261
101	368	3241
102	369	3221
103	371	3202
104	373	3183
105	375	3164
106	377	3146
107	379	3130
108	380	3113
109	384	3108
110	386	3091
111	387	3076
112	389	3059
113	391	3045
114	393	3031
115	395	3016
116	397	3000
117	399	2986
118	401	2971
119	403	2958
120	408	2964
121	409	2947
122	411	2934
123	413	2922
124	415	2910
125	418	2899
126	419	2885
127	422	2874
128	424	2863
129	426	2851
130	429	2850
131	431	2837
132	433	2824
133	434	2811
134	436	2798
135	438	2785
136	440	2772
137	441	2760
138	443	2749
139	445	2736
140	447	2724
141	448	2709
142	452	2711
143	454	2701
144	456	2690
145	460	2692
146	462	2683
147	464	2673
148	466	2663
149	468	2654
150	470	2644
151	474	2649
152	476	2640
153	478	2630
154	481	2622
155	483	2615
156	485	2606
157	487	2596
158	489	2587
159	490	2577
160	492	2564
161	494	2556
162	496	2551
163	498	2542
164	501	2535
165	502	2526
166	504	2517
167	506	2508
168	508	2499
169	510	2490
170	511	2481
171	516	2484
172	519	2482
173	521	2474
174	522	2465
175	524	2456
176	526	2448
177	528	2442
178	530	2435
179	532	2427
180	534	2420
181	536	2412
182	541	2419
183	545	2420
184	548	2414
185	550	2407
186	552	2400
187	554	2395
188	556	2388
189	558	2380
190	563	2385
191	565	2381
192	568	2375
193	570	2368
194	571	2361
195	574	2355
196	576	2348
197	578	2342
198	580	2334
199	581	2327
200	586	2333
201	589	2327
202	591	2321
203	593	2314
204	595	2308
205	598	2305
206	600	2299
207	602	2293
208	604	2287
209	609	2292
210	611	2286
211	613	2280
212	615	2275
213	618	2271
214	620	2265
215	622	2258
216	624	2251
217	626	2245
